key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
,,,,,group stage,,1,0,,,2026-06-22,20:00,,,,,,Jordan,,,Algeria,,,1,2,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-23,12:00,,,,,,Portugal,,,Uzbekistan,,,5,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-23,16:00,,,,,,England,,,Ghana,,,0,0,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-23,19:00,,,,,,Panama,,,Croatia,,,0,1,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-23,20:00,,,,,,Colombia,,,Congo DR,,,1,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-24,12:00,,,,,,Switzerland,,,Canada,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-24,12:00,,,,,,Bosnia and Herzegovina,,,Qatar,,,3,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-24,18:00,,,,,,Scotland,,,Brazil,,,0,3,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-24,18:00,,,,,,Morocco,,,Haiti,,,4,2,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-24,19:00,,,,,,South Africa,,,South Korea,,,1,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-24,19:00,,,,,,Czech Republic,,,Mexico,,,0,3,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-25,16:00,,,,,,Curacao,,,Ivory Coast,,,0,2,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-25,16:00,,,,,,Ecuador,,,Germany,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-25,18:00,,,,,,Japan,,,Sweden,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-25,18:00,,,,,,Tunisia,,,Netherlands,,,1,3,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-25,19:00,,,,,,Paraguay,,,Australia,,,0,0,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-25,19:00,,,,,,Turkey,,,United States,,,3,2,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-26,15:00,,,,,,Norway,,,France,,,1,4,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-26,15:00,,,,,,Senegal,,,Iraq,,,5,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-26,18:00,,,,,,Uruguay,,,Spain,,,0,1,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-26,19:00,,,,,,Cabo Verde,,,Saudi Arabia,,,0,0,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-26,20:00,,,,,,Egypt,,,Iran,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-26,20:00,,,,,,New Zealand,,,Belgium,,,1,5,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-27,17:00,,,,,,Panama,,,England,,,0,2,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-27,17:00,,,,,,Croatia,,,Ghana,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-27,19:30,,,,,,Colombia,,,Portugal,,,0,0,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-27,19:30,,,,,,Congo DR,,,Uzbekistan,,,3,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-27,21:00,,,,,,Jordan,,,Argentina,,,1,3,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-27,21:00,,,,,,Algeria,,,Austria,,,3,3,,,0,0,,0,0,,0,0,1
,,,,,round of 32,,0,1,,,2026-06-28,00:00,,,,,,South Africa,,,Canada,,,0,1,,,0,0,,0,0,,0,1,0
,,,,,round of 32,,0,1,,,2026-06-29,00:00,,,,,,Brazil,,,Japan,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-06-29,00:00,,,,,,Germany,,,Paraguay,,,1,1,,,1,1,,3,4,,0,1,0
,,,,,round of 32,,0,1,,,2026-06-29,00:00,,,,,,Netherlands,,,Morocco,,,1,1,,,1,1,,2,3,,0,1,0
,,,,,round of 32,,0,1,,,2026-06-30,00:00,,,,,,Ivory Coast,,,Norway,,,1,2,,,0,0,,0,0,,0,1,0
,,,,,round of 32,,0,1,,,2026-06-30,00:00,,,,,,France,,,Sweden,,,3,0,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-06-30,00:00,,,,,,Mexico,,,Ecuador,,,2,0,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-01,00:00,,,,,,England,,,Congo DR,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-01,00:00,,,,,,Belgium,,,Senegal,,,3,2,,,1,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-01,00:00,,,,,,United States,,,Bosnia and Herzegovina,,,2,0,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-02,00:00,,,,,,Spain,,,Austria,,,3,0,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-02,00:00,,,,,,Portugal,,,Croatia,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-02,00:00,,,,,,Switzerland,,,Algeria,,,2,0,,,0,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-03,00:00,,,,,,Australia,,,Egypt,,,1,1,,,1,1,,2,4,,0,1,0
